	f3bc810a-edc7-4412-9e09-006c0bcf2550
	tumor
AC005632.1	0
AC005632.2	1.046707589
AC005632.3	0
AC005632.4	0
AC005670.1	0
AC005670.2	0
AC005674.1	0.057217527
AC005674.2	0.172092716
AC005682.1	0.340145913
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0
AC005695.2	0
AC005695.3	0
AC005696.1	0.237136298
AC005696.2	0
AC005696.3	0.086676056
AC005696.4	0.016690718
AC005697.1	0
AC005697.2	0
AC005699.1	0
AC005702.1	0
AC005702.2	0
AC005702.3	0
AC005702.4	0
AC005703.1	0.014812659
AC005703.2	0
AC005703.3	0
AC005703.4	0
AC005703.5	0
AC005703.6	0.118568149
AC005722.1	0
AC005722.2	0.077931291
AC005722.3	0
AC005725.1	0.15110958
AC005726.1	0.228514499
AC005726.2	0
AC005726.3	0.9174793
AC005726.4	0
AC005726.5	0
AC005730.1	0
AC005730.2	0.044362914
AC005730.3	0.574051256
AC005736.1	0.188399175
AC005736.2	0.169656621
AC005736.3	0
AC005740.1	0
AC005740.2	0
AC005740.3	0
AC005740.4	0.027442889
AC005741.1	0
AC005746.1	0
AC005746.2	0.055878394
AC005746.3	0.066826578
AC005753.1	0.042496513
AC005757.1	0
AC005758.1	0
AC005759.1	0
AC005771.1	0
AC005772.1	0
AC005774.1	0
AC005775.1	0.030897465
AC005776.1	0
AC005776.2	0.385999982
AC005777.1	0
AC005779.1	0.194539592
AC005779.2	0.047750627
AC005785.1	0.123686868
AC005785.2	0.166483962
AC005786.1	0
AC005786.2	0
AC005786.3	0
AC005786.4	0.03850857
AC005789.1	0
AC005790.1	0.175085633
AC005796.1	0
AC005798.1	0
AC005808.1	0
AC005821.1	0.006747905
AC005822.1	0
AC005823.1	0
AC005823.2	0
AC005828.1	0
AC005828.2	0
AC005828.3	0
AC005828.4	0.047577618
AC005828.5	0
AC005828.6	0
AC005828.7	0
AC005829.1	0.116896936
AC005829.2	1.119155325
AC005831.1	0.727374021
AC005832.1	0
AC005832.2	0
AC005832.3	0
