	88d2f686-ae1a-4375-93d9-febc927f0082
	tumor
AC005515.1	0
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	0.8841911
AC005520.1	0.007434428
AC005520.2	5.150664349
AC005520.3	0.07424381
AC005520.4	0.305224554
AC005520.5	0
AC005521.1	0.031502534
AC005522.1	0.12128128
AC005523.1	0.328591027
AC005523.2	0
AC005529.1	0.095052629
AC005531.1	0
AC005532.1	0.044414244
AC005532.2	0
AC005534.1	0.481284
AC005534.2	0.126883186
AC005537.1	1.215496012
AC005538.1	0
AC005538.2	0
AC005539.1	0
AC005540.1	0.239131315
AC005544.1	0.119435695
AC005544.2	0
AC005546.1	0.351281456
AC005549.1	0
AC005550.1	0
AC005550.2	0.007339089
AC005552.1	0
AC005559.1	0.063077405
AC005562.1	0.582535928
AC005562.2	0
AC005578.1	0.026931578
AC005580.1	0
AC005586.1	1.809129939
AC005586.2	2.231749427
AC005587.1	0
AC005588.1	0
AC005592.1	0.016750128
AC005593.1	0.693422773
AC005597.1	0
AC005606.1	0
AC005606.2	0
AC005609.1	0
AC005609.2	0
AC005609.3	0
AC005609.4	0
AC005609.5	0
AC005614.1	0.007519904
AC005614.2	0
AC005616.1	0
AC005618.1	0.279239744
AC005618.2	0
AC005618.3	0
AC005625.1	0.058199597
AC005632.1	0.095382673
AC005632.2	0.431295565
AC005632.3	0
AC005632.4	0
AC005670.1	0.27817934
AC005670.2	0
AC005674.1	0.059847952
AC005674.2	0.25826693
AC005682.1	0.655390147
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005695.1	0.067803762
AC005695.2	0
AC005695.3	0
AC005696.1	1.364209068
AC005696.2	0
AC005696.3	0.271982276
AC005696.4	0.261870447
AC005697.1	0.330397713
AC005697.2	0.08485943
AC005699.1	0.054504385
AC005702.1	0.057110623
AC005702.2	0.01898425
AC005702.3	0
AC005702.4	0
AC005703.1	0
AC005703.2	0
AC005703.3	0
AC005703.4	0
AC005703.5	0
AC005703.6	0.082679337
AC005722.1	0.056992137
AC005722.2	0.122270964
AC005722.3	0.123184798
AC005725.1	0.021074192
AC005726.1	0.529258238
AC005726.2	0.036264303
AC005726.3	1.139593859
AC005726.4	0
AC005726.5	0
AC005730.1	0
AC005730.2	0.069603572
AC005730.3	0
AC005736.1	0.216766362
AC005736.2	0.106473682
AC005736.3	0
AC005740.1	0
AC005740.2	0.06556136
AC005740.3	0.079855261
AC005740.4	0.028704504
AC005741.1	0
AC005746.1	0.702774368
AC005746.2	1.402734121
AC005746.3	0.698987528
AC005753.1	0.044450178
AC005757.1	0.174598791
AC005758.1	0
AC005759.1	0.181321517
AC005771.1	0
AC005772.1	0
AC005774.1	0
AC005775.1	0.226225258
AC005776.1	0.284174585
AC005776.2	0.621146633
AC005777.1	0
AC005779.1	0
AC005779.2	0.099891672
AC005785.1	0.301870438
AC005785.2	0.391809649
AC005786.1	0
AC005786.2	0
AC005786.3	0
AC005786.4	0.0805578
AC005789.1	0
AC005790.1	2.075526967
AC005796.1	0
AC005798.1	0
AC005808.1	0.072100288
AC005821.1	0.049406852
AC005822.1	0
AC005823.1	0
AC005823.2	0
AC005828.1	0.052424065
AC005828.2	0.048879377
AC005828.3	0
AC005828.4	0.149294619
AC005828.5	0.077380873
AC005828.6	0.592030385
AC005828.7	0
AC005829.1	0.122270964
AC005829.2	0.026013456
AC005831.1	3.10800253
AC005832.1	0.144074527
AC005832.2	0
AC005832.3	0
AC005832.4	0
AC005833.1	0
AC005833.2	0
AC005833.3	0
AC005837.1	0.847944742
AC005837.2	0
AC005837.3	1.152596218
AC005838.1	0
AC005838.2	0.693254508
AC005839.1	1.316654939
AC005840.1	0.437191669
