	00068002-f4f0-4610-bfe6-67169c760d21
	tumor
AC005839.1	0.426897826
AC005840.1	1.288549191
AC005840.2	1.727524449
AC005840.3	0.011457688
AC005840.4	0.286231785
AC005841.1	0
AC005842.1	0
AC005845.1	0.131280888
AC005856.1	0.399656968
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0.009531512
AC005865.1	0
AC005865.2	0
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	0
AC005884.2	0.115690175
AC005899.1	0
AC005899.2	0
AC005899.3	0.105444551
AC005899.4	0
AC005899.5	0.051767162
AC005899.6	0
AC005899.7	0
AC005899.8	0.033140589
AC005901.1	0
AC005906.1	0
AC005906.2	0.157657783
AC005908.1	0.082350067
AC005908.2	0
AC005909.1	0
AC005911.1	0.751986138
AC005912.1	19.83474024
AC005912.2	0.011906447
AC005915.1	0
AC005920.1	0
AC005920.2	0
AC005920.3	0
AC005920.4	0
AC005921.1	0
AC005921.2	0
AC005921.3	0.026569478
AC005943.1	0.199629054
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	0.084793689
AC005954.2	0
AC005962.1	0.131482239
AC005972.1	0
AC005972.2	0
AC005972.3	0
AC005993.1	1.727484527
AC005996.1	0.050665733
AC005999.1	0
AC006001.1	0.180857425
AC006001.2	1.919248202
AC006001.3	0.796220616
AC006001.4	12.58767681
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0.049353149
AC006012.1	0.041353796
AC006013.1	0
AC006015.1	0
AC006017.1	0.212299207
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0
AC006022.1	0
AC006023.1	0.110330012
AC006023.2	0
AC006026.1	0
AC006026.2	0
AC006026.3	1.398799389
AC006027.1	0
AC006028.1	0
AC006030.1	0.033890658
AC006033.1	0
AC006033.2	0.17424069
AC006037.1	0
AC006037.2	0
AC006041.1	0
AC006042.1	0
AC006042.2	0
AC006042.3	0
AC006042.4	0
AC006055.1	0
AC006058.1	0.07895335
AC006058.2	0
AC006058.3	0.320772384
AC006058.4	0.171110618
AC006059.1	0.072803753
AC006063.1	0
AC006064.1	0
AC006064.2	0.858825698
AC006064.3	0.599066525
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0
AC006065.5	0
AC006065.6	0
AC006070.1	0.296118894
AC006076.1	0
AC006077.1	0
AC006077.2	0.375170327
AC006111.1	0
AC006111.2	0.74916971
AC006111.3	0
AC006115.1	0
AC006115.2	0
AC006116.1	0.078974131
AC006116.10	0.049183259
AC006116.2	0.057845088
AC006116.3	0
AC006116.4	0.252880294
AC006116.5	0.204475658
AC006116.6	0
AC006116.7	0
AC006116.8	0.123898386
AC006116.9	0
AC006122.1	0.324721287
AC006128.1	0.774169955
AC006130.1	0
AC006130.2	0
AC006133.1	0
AC006141.1	0.026336842
AC006144.1	0
AC006145.1	0
AC006146.1	0
AC006148.1	0
AC006148.2	0
AC006150.1	0
AC006153.1	0
AC006157.1	0
AC006158.1	0
AC006159.1	0.074029723
AC006159.2	0
AC006160.1	0.152402524
AC006195.1	0
AC006197.1	0
AC006199.1	0
AC006205.1	0
AC006205.2	0
AC006206.1	0.008436809
AC006206.2	1.781513293
AC006210.1	0
AC006210.2	0
AC006213.1	0.108054385
AC006213.2	0.495151839
AC006213.3	1.713422959
AC006213.4	0.856362762
AC006213.5	0.595322359
AC006213.6	0.082054482
AC006236.1	0
AC006237.1	0
AC006238.1	0
AC006249.1	0
AC006252.1	0.441219841
AC006254.1	0.018100062
AC006254.2	0.102421051
AC006254.3	0.032325196
AC006262.1	0.106354324
AC006262.2	0
AC006262.3	0
AC006262.4	0.099914242
AC006270.1	0
AC006270.2	0
AC006270.3	0
AC006272.1	0.207068647
AC006272.2	0.337771551
AC006273.1	0.199132218
AC006277.1	0.443718528
AC006288.1	0
AC006296.1	0
AC006296.2	0
AC006299.1	0
AC006305.1	0.028471079
AC006305.2	0
AC006305.3	0
AC006326.1	0
AC006328.1	0
AC006329.1	0.52692362
AC006329.2	0
AC006330.1	0.172574574
AC006333.1	0
AC006333.2	1.320543546
AC006335.1	0
AC006335.2	0
AC006335.3	0
AC006338.1	0
AC006338.2	0
AC006349.1	0
AC006355.1	0
AC006355.2	0
AC006357.1	0.269072253
AC006362.1	0
AC006363.1	0
AC006366.1	0
AC006369.1	0.052145024
AC006369.2	0
AC006372.1	0
AC006372.2	0
AC006372.3	0
AC006372.4	0.018519425
AC006378.1	0.089859979
AC006378.2	0
AC006380.1	0
AC006386.1	0
AC006386.2	0
