	48a39e37-0380-4465-8311-6c5c6aff522a
	tumor
AC006065.5	0
AC006065.6	0
AC006070.1	0.147427628
AC006076.1	0
AC006077.1	0
AC006077.2	0.249046233
AC006111.1	0
AC006111.2	0.119888478
AC006111.3	0.037145603
AC006115.1	0
AC006115.2	0
AC006116.1	0.045871655
AC006116.10	0.048973377
AC006116.2	0.028799122
AC006116.3	0
AC006116.4	0.031475146
AC006116.5	0.127251933
AC006116.6	0
AC006116.7	0
AC006116.8	0.039253986
AC006116.9	0.013679583
AC006122.1	0.064667119
AC006128.1	0.74517077
AC006130.1	0
AC006130.2	0
AC006133.1	0
AC006141.1	0.006556113
AC006144.1	0
AC006145.1	0.316627386
AC006146.1	0
AC006148.1	0
AC006148.2	0
AC006150.1	0
AC006153.1	0
AC006157.1	0
AC006158.1	0
AC006159.1	0.405425977
AC006159.2	0.020558911
AC006160.1	0.151752172
AC006195.1	0
AC006197.1	0
AC006199.1	0.064962402
AC006205.1	0
AC006205.2	0
AC006206.1	0
AC006206.2	3.955821493
AC006210.1	0
AC006210.2	0.009232165
AC006213.1	0.166280525
AC006213.2	0.356804439
AC006213.3	0.385250919
AC006213.4	0.448793883
AC006213.5	0.246992467
AC006213.6	0.06808694
AC006236.1	0
AC006237.1	0.029639096
AC006238.1	0.053283768
AC006249.1	0.030205448
AC006252.1	0.193825151
AC006254.1	0.072091293
AC006254.2	0
AC006254.3	0
AC006262.1	0.267158017
AC006262.2	0.150813775
AC006262.3	0
AC006262.4	0.049743937
AC006270.1	0.059526218
AC006270.2	0.021820193
AC006270.3	0
AC006272.1	0.025773127
AC006272.2	0.134532067
AC006273.1	0.066094151
AC006277.1	0.114874509
AC006288.1	0
AC006296.1	0
AC006296.2	0
AC006299.1	0.070516808
AC006305.1	0.420518825
AC006305.2	0.25773127
AC006305.3	0.031336489
