	c6d03bd4-42cd-445a-9222-7ea265bd103f
	tumor
AC006254.2	0
AC006254.3	0
AC006262.1	0.012320546
AC006262.2	0.028593149
AC006262.3	0
AC006262.4	0.084879662
AC006270.1	0.101571478
AC006270.2	0.074464979
AC006270.3	0
AC006272.1	0.087955012
AC006272.2	0
AC006273.1	0.028194638
AC006277.1	0.045234006
AC006288.1	0
AC006296.1	0
AC006296.2	0
AC006299.1	0.010027089
AC006305.1	0.153183687
AC006305.2	0
AC006305.3	0
AC006326.1	0
AC006328.1	0
AC006329.1	6.680089566
AC006329.2	0
AC006330.1	0.073303221
AC006333.1	0
AC006333.2	2.417149544
AC006335.1	0
AC006335.2	0
AC006335.3	0
AC006338.1	0
AC006338.2	0
AC006349.1	0
AC006355.1	0
AC006355.2	0
AC006357.1	0
AC006362.1	0
AC006363.1	0
AC006366.1	0
AC006369.1	0.132895529
AC006369.2	0
AC006372.1	0
AC006372.2	0
AC006372.3	0.005995452
AC006372.4	0
AC006378.1	0.114507468
AC006378.2	0.049021775
AC006380.1	0
AC006386.1	0
AC006386.2	0.059792077
AC006387.1	0.011084741
AC006390.1	0
AC006427.1	0
AC006435.1	0
